,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
33557,3544.2,11.114,150.0,8.602,8.5,2.836,3.265,3.265,0.446,2.192,0.041,118.726,7.244,0
33558,3544.3,11.667,150.0,8.578,8.5,2.867,3.327,3.327,0.457,2.186,0.04,118.894,7.268,0
33559,3544.4,12.22,150.0,8.602,8.5,2.79,3.112,3.112,0.468,2.182,0.038,119.169,7.297,0
33560,3544.5,12.772,150.0,8.625,8.5,2.59,2.716,2.716,0.479,2.183,0.037,119.657,7.288,0
33561,3544.6,13.343,150.0,8.625,8.5,2.419,2.26,2.26,0.48,2.189,0.041,120.115,7.229,0
33562,3544.7,13.913,150.0,8.625,8.5,2.393,2.218,2.218,0.471,2.197,0.046,120.614,7.16,0
33563,3544.8,14.484,150.0,8.625,8.5,2.395,2.209,2.209,0.46,2.203,0.049,121.239,7.133,0
33564,3544.9,14.871,150.0,8.625,8.5,2.394,2.19,2.19,0.453,2.205,0.05,121.566,7.18,0
33565,3545.0,15.259,150.0,8.625,8.5,2.451,2.25,2.25,0.458,2.204,0.05,121.773,7.266,0
33566,3545.1,15.646,150.0,8.578,8.5,2.522,2.396,2.396,0.467,2.2,0.051,121.891,7.362,0
33567,3545.2,16.086,150.0,8.602,8.5,2.607,2.546,2.546,0.474,2.191,0.052,121.685,7.461,0
33568,3545.3,16.526,150.0,8.602,8.5,2.775,2.923,2.923,0.481,2.177,0.052,121.461,7.554,0
33569,3545.4,16.966,150.0,8.578,8.5,2.881,3.238,3.238,0.484,2.158,0.052,121.716,7.61,0
33570,3545.5,17.286,150.0,8.602,8.5,2.955,3.372,3.372,0.492,2.136,0.053,121.922,7.572,0
33571,3545.6,17.605,150.0,8.578,8.5,3.079,3.698,3.698,0.5,2.114,0.052,122.151,7.434,0
33572,3545.7,17.924,150.0,8.578,8.5,3.366,4.482,4.482,0.5,2.095,0.048,122.677,7.257,0
33573,3545.8,18.25,150.0,8.578,8.5,3.313,4.163,4.163,0.5,2.082,0.04,123.105,7.136,0
33574,3545.9,18.577,150.0,8.602,8.5,2.921,3.216,3.216,0.5,2.084,0.031,123.474,7.141,0
33575,3546.0,18.903,150.0,8.625,8.5,2.684,2.66,2.66,0.5,2.103,0.026,123.875,7.233,0
33576,3546.1,19.183,150.0,8.625,8.5,2.576,2.481,2.481,0.483,2.134,0.028,124.1,7.321,0
33577,3546.2,19.463,150.0,8.625,8.5,2.576,2.472,2.472,0.467,2.164,0.032,124.173,7.371,0
33578,3546.3,19.743,150.0,8.625,8.5,2.601,2.556,2.556,0.463,2.185,0.035,123.879,7.416,0
33579,3546.4,19.741,150.0,8.625,8.5,2.596,2.523,2.523,0.471,2.198,0.036,123.303,7.494,0
